Отметка времени,"Вопрос, который вы бы хотели задать",Ответ на заданный вами вопрос
03.05.2024 23:14:47,Чем занимается направление DIY,DIY разрабатывает различные устройства с использованием современных станков ЧПУ.
03.05.2024 23:20:17,Какие ПО используют в направлении DIY,"Основные программы для разработки мы используем: Компас 3D, Corel Draw, Cura и k40. Переодически мы используем: Arduino IDE, ArtCAM, Visual Studio Community."
04.05.2024 12:46:05,Чему вы учите на направлении 3д-моделирование?,Мы учим создавать трехмерные модели предметов для игр и не только
04.05.2024 12:46:09,Как попасть в Октопус?,Надо дождаться объявления набора на официальных ресурсах октопуса
04.05.2024 12:47:47,В каких программах вы работаете на направлении 3д-моделирование?,Мы работаем а программах Blender и Substance 3D Painter
04.05.2024 12:54:30,Какие направления есть в Октопусе?,"Python, Unity, 2D, 3D, Коммерческий дизайн, Видеография, Дроны, DIY, WEB"
04.05.2024 12:55:57,Сколько стоит обучение в Октопусе?,Обучение бесплатно
04.05.2024 12:56:54,Где можно посмотреть новости Октопуса?,На официальных ресурсах *выводи QR на группы*
04.05.2024 13:00:14,Что такое Октопус?,"Октопус это секция дополнительного образования, где вы можете научиться монтировать, создавать дизайны, программировать и много чего ещё "
04.05.2024 13:02:03,Мне выдадут худи?,Худи выдадут в случае успешного завершения в образовательном центре Октопуса
04.05.2024 13:04:08,Как получить худи?,Нужно успешно закончить обучение в образовательном центре Октопуса
04.05.2024 13:50:33,На каком движке вы учите делать игры?,Мы делаем игры на Unity!
05.05.2024 14:50:46,Как научиться управлять квадрокоптеом?,Учиться надо начинать с симулятора
05.05.2024 14:51:55,Как далеко может улететь квадрокоптер,Зависит от батарейки
05.05.2024 14:54:09,На какую высоту может подняться квадрокоптер,До 7 километров
05.05.2024 15:01:46,Какой квадрокоптер выбрать для начала?,"Крепкий, маленький и с защитой пропеллеров."
05.05.2024 15:04:21,Опасен ли квадрокоптер?,"Достаточно опасен, но если соблюдать простые правила то нет."
11.05.2024 12:40:57,Сколько стоят курсы?,"Вопросы, касающиеся стоимости обучения можно уточнить у администратора"
11.05.2024 12:41:02,Как записаться на направление?,"Запись осуществляется по ссылке, во время набора участников, либо же уточнить у администратора "
11.05.2024 12:41:03,Какого возраста могут заниматься дети?,Для каждого курса уточнить у администратора.
11.05.2024 12:41:20,Я стану программистом?,Ты станешь робототехником :)
11.05.2024 12:41:28,С какого года существует образовательный центр «Октопус»?,С 2022 года
11.05.2024 12:42:07,Кто может быть участником программы Октопус,Учайщийся любого образовательного учреждения Сосновоборска
11.05.2024 12:42:27,Чем занимается отдел продаж?,Отдел продаж помогает студентам довести их продукт до логичного завершения. Сделать его полным и готовым к продаже на рынке услуг.
11.05.2024 12:42:45,Сколько по времени проходит обучение ,Курс длится по времени 3 месяца 
11.05.2024 12:43:38,Что изучается в рамках направления Пайтон?,"Обучение на направлении Python начинается с изучения основ программирования, затем ребята начинают изучать программирование ботов для Telegram, а самые продвинутые ученики переходят к разработке нейронных сетей."
11.05.2024 12:43:54,Сколько длится обучение ,Базовый курс длится 3 месяца.
11.05.2024 12:44:30,Откуда появился образовательный центр Октопус,Из глубин морских
11.05.2024 12:44:45,Кто проводит занятия?,В нашем образовательном центре занятия проводят высококвалифицированные наставники
11.05.2024 12:45:08,У вас есть 3д принтер,"У нас есть несколько 3д принтеров, лазерный гравер и два чпу фрезера"
11.05.2024 12:45:40,Почему образовательный центр называется Октопус?,"В этом названии есть очень глубокий смысл, который знают только наставники"
11.05.2024 12:46:48,Как попасть в проектный центр Октопус,Нужно пройти стартовое обучение в образовательном центре Октопус
11.05.2024 12:47:48,Смогу ли я делать 3D-модели для игр,Да конечно
11.05.2024 12:47:56,Мой ребенок станет инженером,"Он получит навыки и умения, которые помогут ему в будущей профессии"
11.05.2024 12:48:49,За сколько можно обучиться блендеру,"Учиться можно всю жизнь, но мы учим за 3 месяца"
11.05.2024 12:49:04,Вы участвуете в турнирах и соревнованиях?,"Да, участие в турнирах, конкурсах и чемпионатах один из важных аспектов нашей деятельности"
11.05.2024 12:49:10,Как переводится Октопус,Осьминог
11.05.2024 12:49:55,Какой продукт уже выпущен на рынок?,"Вместе со студентом и куратором отдела пайтон, нами успешно создан и внедрён чат-бот для бронирования беседок на лыжной базе снежинка. Протестируйте и оставьте свой отзыв, мы будем рады"
11.05.2024 12:50:25,Чем отличается коммерческий дизайн от цифровой иллюстрации?,Ничем. Только не говорите об этом наставникам
11.05.2024 12:51:11,"Какие перспективы будут у школьников, обученных в Октопус?","Наши выпускники опережают школьную, а иногда и вузовскую программу, поэтому их конкурентоспособность на рынке труда будет гораздо выше чем у их сверстников"
11.05.2024 12:51:24,какое оборудование есть в октопусе,самое нужное и современное
11.05.2024 12:51:26,На видеографию мне нужно иметь свое оборудование,Мы полностью обеспечиваем образовательный процесс техническими средствами
11.05.2024 12:52:03,В какую смену надо учиться чтобы ходить в Октопус,В любую
11.05.2024 12:52:30,А что это у вас тут такое?,Я голосовой ассистент образовательного центра Октопус
11.05.2024 12:52:41,Смогу ли я зарабатывать деньги после обучения в Октопус,"Да, мы даём актуальные индустрийные навыки, которые позволяют выполнять свои первые заказы"
11.05.2024 12:52:43,Что такое компас 3д,Это программа для создания 3д моделей различных деталей и сборок из этих деталей. 
11.05.2024 12:53:20,Ты любишь детей?,Я люблю детей по-настоящему
11.05.2024 12:53:22,Привет,Привет
11.05.2024 12:53:25,Как тебя зовут,Можешь называть меня Мистер Октопус
11.05.2024 12:53:35,Здравствуйте ,Здравствуйте 
11.05.2024 12:53:47,Добрый день,Добрый день
11.05.2024 12:54:17,А вы выдаете какой-нибудь документ по окончанию обучения,"Да, мы выдаем документы об обучении в зависимости от того, какую вы программу прошли"
11.05.2024 12:54:21,Добавят баллы к егэ,"Да, если будешь участвовать с нами в конкурсах"
11.05.2024 12:54:44,Сколько тебе лет,2 года
11.05.2024 12:55:10,Ты можешь пройти лабиринт,"Конечно, я же осьминог"
11.05.2024 12:55:35,Что получит ребенок после обучения,"Наши выпускники получают сертификат об окончании обучения, а самые лучшие попадают в проектный центр"
11.05.2024 12:55:45,На сколько направления можно ходить одновременно,"Сколько угодно, главное чтобы хватало времени"
11.05.2024 12:56:24,Обучаете ли вы взрослых,"Пока нет, но в планах есть обучение взрослых"
11.05.2024 12:56:48,С какого возраста можно поступить в октопус,"с седьмого класса, но бывают и исключения"
11.05.2024 12:58:25,Меня научат паять,"Да, вы станете супер-пупер Мега паяльющиком"
11.05.2024 12:58:25,Какой у вас режим работы,"с 9 до 21 часов каждый день, без выходных"
11.05.2024 12:59:10,"Я хочу у вас работать, к кому можно обратиться","Обратитесь к администратору, он даст вам контакты руководителя центра"
11.05.2024 13:00:07,Где проходят занятия,"Занятия проходят в образовательном центре ""Октопус"" на пр.Мира, 5. Также занятия проходят в IT-классах всех школ города Сосновоборска"
11.05.2024 13:00:08,Есть ли сайт октопуса,"Нет, но есть наши соц. сети"
,какие комплектующие у компьютеров,самые крутое
,"Какой уровень опыта у меня должен быть, чтобы присоединиться к вашим курсам?","Наши курсы для студентов всех уровней, от новичков до опытных учеников. Мы предлагаем вводные курсы для тех, кто новичок в предмете, а также более продвинутые курсы для тех, кто имеет опыт пользования."
,могут ли быть доступны курсы онлайн или я обязан посетить их очно?,курсы проходят исключительно очно
,будет ли мне как студенту выгода ,после прохождения наших курсов вы станете продвинутыми в IT и конкуренто способными
,чем курсы от октопус отличаются от других,наши курсы нацелены на индивидуальный подход и под способности каждого ученика
,я могу отказаться от курса в время обучения,"да , вы можете в любое время прекратить своё обучение"
,какие виды подсветки есть у компьютеров,"во втором классе зелененькие, а в первом 15 режимов подсветки"
,какая марка гарнитуры используется у вас,фирма bloody
,у вас использукются в компьютерах SSD или жесткие диски,У нас в компьютерах самые быстрые на дикм запaде SSD
,какой марки у вас компьютерные мыши ,фирма logitech
,какой марки у вас клавиатуры,фирма ardor gaming
,какой марки у вас мониторы ,"в первом зале MSI, во втором - LG 24"
,Могу ли я пройти тестирование на уровень своих знаний перед началом курса?,"да, вы можете сделать это, чтобы нам правильно определить в группу"
,сколько всего классов в октопусе ,"всего 3 класса, одна из них переговорная со столом и телевизором"
,есть ли туалеты,да есть
,что будет после прохождения 3-месячного курса,"ученик переходит в проектный центр, где он занимается разработкой собственного проекта"
,где будут проходить занятия,"это стоит уточнить у администратора, либо в гимназии, либо на мира 5"
, есть ли каникулы ,только в августе